City Id,City,Cloudiness,Country,Date,Humidity,lattitude,long,Max temp,Wind Speed
41,yining,0,CN,1632186158,61,29.0361,114.5636,77.14,2.15
42,lerwick,100,GB,1632186159,79,60.1545,-1.1494,53.6,21.92
43,cururupu,67,BR,1632186160,87,-1.8283,-44.8683,75.38,4.14
44,ninghai,41,CN,1632186160,85,29.2892,121.4247,78.55,2.59
45,jining,0,CN,1632186160,75,35.405,116.5814,72.5,8.28
46,alamos,100,MX,1632186161,84,27.0167,-108.9333,78.58,2.26
47,kangaatsiaq,100,GL,1632186161,88,68.3065,-53.4641,32.63,7.18
48,yar-sale,100,RU,1632186161,98,66.8333,70.8333,37.76,12.97
49,hearst,100,CA,1632186162,73,49.6835,-83.6665,70.03,13.91
50,bluff,100,NZ,1632186162,90,-46.6,168.3333,47.43,18.48
51,hobart,75,AU,1632186008,53,-42.8794,147.3294,49.86,12.66
52,tuktoyaktuk,90,CA,1632186163,87,69.4541,-133.0374,39.2,16.11
53,ancud,0,CL,1632186163,85,-41.8697,-73.8203,43.57,6.44
54,khani,7,GE,1632186164,76,41.9563,42.9566,53.17,6.2
55,blind river,100,CA,1632186164,84,46.1834,-82.9582,71.71,14.79
56,nongan,100,CN,1632186164,97,44.382,125.1685,57.42,13.2
57,thompson,100,CA,1632186165,80,55.7435,-97.8558,44.33,7.65
58,vardo,34,NO,1632186165,73,70.3705,31.1107,42.15,26.44
59,cape town,25,ZA,1632186011,64,-33.9258,18.4232,53.92,10.16
60,barrow,75,US,1632186166,69,71.2906,-156.7887,33.82,16.11
61,broome,1,US,1632186166,72,42.2506,-75.833,65.17,6.91
62,calama,9,CL,1632186016,24,-22.4667,-68.9333,55.24,3.24
63,ayan,1,RU,1632186167,47,56.45,138.1667,49.1,15.5
64,kericho,4,KE,1632186167,92,-0.3677,35.2831,52.0,4.32
65,karratha,100,AU,1632186168,24,-20.7377,116.8463,81.3,30.24
66,caranan,96,PH,1632186168,75,13.5167,123.0156,82.27,0.69
67,sambava,78,MG,1632186169,77,-14.2667,50.1667,70.45,11.01
68,bom jesus,61,BR,1632185983,20,-9.0744,-44.3586,79.75,2.89
69,baruun-urt,98,MN,1632186071,72,46.6806,113.2792,56.3,4.21
70,iskateley,100,RU,1632186169,84,67.6803,53.1512,40.01,12.95
71,dingle,100,PH,1632186170,84,10.9995,122.6711,80.4,2.86
72,dryden,90,CA,1632186050,93,49.7833,-92.7503,52.09,6.91
73,north bend,1,US,1632186170,72,43.4065,-124.2243,62.51,19.57
74,butaritari,43,KI,1632186171,70,3.0707,172.7902,83.16,13.56
75,hurricane,0,US,1632186075,15,37.1753,-113.2899,82.74,11.95
76,bonavista,5,CA,1632185883,66,48.6499,-53.1147,35.6,19.17
77,coquimbo,0,CL,1632185952,82,-29.9533,-71.3436,55.13,3.44
78,iqaluit,100,CA,1632186172,88,63.7506,-68.5145,29.7,10.89
79,manggar,94,ID,1632186172,68,-2.8833,108.2667,83.68,12.33
80,coro,96,VE,1632186173,87,11.4045,-69.6734,80.69,13.85
81,saskylakh,100,RU,1632186174,91,71.9167,114.0833,32.9,5.91
82,harper,12,LR,1632186174,89,4.375,-7.7169,76.05,7.29
83,bethel,4,US,1632185936,79,41.3712,-73.414,61.63,4.25
84,seoul,90,KR,1632186173,88,37.5683,126.9778,72.84,6.91
85,snezhnogorsk,37,RU,1632186175,89,69.1933,33.2531,28.18,10.2
86,goderich,100,CA,1632186175,88,43.7501,-81.7165,69.31,17.0
87,chuy,92,UY,1632186176,89,-33.6971,-53.4616,56.03,16.53
88,alta floresta,98,BR,1632186176,31,-9.8756,-56.0861,84.88,1.45
89,hasaki,99,JP,1632186176,62,35.7333,140.8333,75.6,7.45
90,yelizovo,75,RU,1632186177,44,53.1873,158.3805,57.34,20.13
91,nishihara,20,JP,1632186177,70,26.1842,127.7558,85.28,3.44
92,kichera,95,RU,1632186178,64,55.9375,110.0997,57.11,2.89
93,opuwo,0,NA,1632186178,27,-18.0607,13.84,68.63,6.13
94,haapiti,3,PF,1632186178,71,-17.5667,-149.8667,83.93,13.87
95,ilulissat,90,GL,1632186179,74,69.2167,-51.1,28.42,21.85
96,kruisfontein,81,ZA,1632186179,68,-34.0033,24.7314,53.96,15.73
97,arlit,0,NE,1632186180,10,18.7369,7.3853,90.45,12.48
98,nikolskoye,98,RU,1632186180,81,59.7035,30.7861,42.69,6.76
99,avarua,75,CK,1632186180,83,-21.2078,-159.775,77.05,5.75
100,victoria,93,HK,1632186099,75,22.2855,114.1577,86.05,1.88
101,moyamba,100,SL,1632186181,98,8.1667,-12.4333,73.53,1.79
102,luderitz,0,NA,1632186182,60,-26.6481,15.1594,58.1,15.48
103,codrington,95,AU,1632186182,64,-38.2667,141.9667,52.29,16.55
104,nalut,0,LY,1632186182,18,30.3333,10.85,81.37,5.66
105,namatanai,100,PG,1632186183,67,-3.6667,152.4333,84.58,4.29
106,ribeira grande,0,PT,1632186183,73,38.5167,-28.7,70.75,13.22
107,bati,34,ET,1632186184,39,11.1833,40.0167,68.16,5.64
108,longyearbyen,75,SJ,1632186184,93,78.2186,15.6401,40.84,0.0
109,carutapera,31,BR,1632186185,79,-1.195,-46.02,78.13,7.23
110,kodiak,12,US,1632186185,64,57.79,-152.4072,52.63,17.07
111,nanortalik,2,GL,1632186186,71,60.1432,-45.2371,37.33,12.97
112,hermanus,34,ZA,1632186186,67,-34.4187,19.2345,51.69,6.91
113,laguna,1,US,1632186186,15,38.421,-121.4238,91.38,3.44
114,avanigadda,100,IN,1632186187,90,16.0215,80.9181,77.14,4.18
115,mar del plata,0,AR,1632186187,78,-38.0023,-57.5575,47.93,14.18
116,eyl,12,SO,1632186138,81,7.9803,49.8164,76.06,15.82
117,mount gambier,98,AU,1632186188,60,-37.8333,140.7667,51.98,10.69
118,sao filipe,99,CV,1632186188,84,14.8961,-24.4956,80.15,6.93
119,mahebourg,23,MU,1632186189,64,-20.4081,57.7,68.74,13.91
120,hambantota,40,LK,1632186189,100,6.1241,81.1185,77.34,5.75
121,havre-saint-pierre,94,CA,1632186189,76,50.2334,-63.5986,50.95,7.65
122,haines junction,100,CA,1632186190,90,60.7522,-137.5108,44.56,2.91
123,half moon bay,1,US,1632186190,28,37.4636,-122.4286,89.42,14.97
124,vanimo,100,PG,1632185932,67,-2.6741,141.3028,85.1,5.01
125,clyde river,92,CA,1632186191,71,70.4692,-68.5914,29.44,6.93
126,fatsa,0,TR,1632186191,59,41.0278,37.5014,64.2,7.61
127,port elizabeth,72,ZA,1632186192,59,-33.918,25.5701,59.13,15.99
128,renigunta,40,IN,1632186192,74,13.65,79.5167,80.58,3.44
129,isla mujeres,31,MX,1632186192,81,21.2311,-86.731,84.25,11.16
130,tiksi,100,RU,1632186193,72,71.6872,128.8694,35.76,8.52
131,karasjok,8,NO,1632186193,90,69.4719,25.5112,39.31,12.66
132,takoradi,28,GH,1632186194,93,4.8845,-1.7554,75.67,7.83
133,talnakh,100,RU,1632186194,77,69.4865,88.3972,33.22,2.55
134,bone,100,DE,1632186194,65,51.9669,12.1396,50.67,4.63
135,chernyshevsk,91,RU,1632186195,69,52.5243,117.0174,55.35,2.55
136,jalingo,100,NG,1632186195,91,8.8833,11.3667,74.97,1.83
137,aswan,16,EG,1632186196,16,24.0934,32.907,87.19,8.63
138,lima,60,PE,1632186097,80,-12.0432,-77.0282,60.78,8.57
139,champerico,100,GT,1632185906,79,14.3,-91.9167,84.74,5.95
140,redlands,0,US,1632185953,24,34.0556,-117.1825,87.19,4.43
141,kapaa,75,US,1632186197,74,22.0752,-159.319,84.18,12.66
